type,date,bitcoin,ethereum,zcash,BTC/EUR,ETH/EUR,ZEC/EUR
val3,28.10.16,,,,,10.14677085,
val3,29.10.16,,,,,9.14283,
val3,30.10.16,,,,,10.50894216,
val3,31.10.16,,,,,10.04299378,
val3,01.11.16,,,,,9.442692,
val3,02.11.16,,,,,9.81417913,
val3,03.11.16,,,,,10.65883168,
val3,04.11.16,,,,,9.7647648,
val3,05.11.16,,,,,9.952355,
val3,06.11.16,,,,,9.76566729,
val3,08.11.16,,,,,9.9637629,
val3,09.11.16,,,,,9.79080873,
val3,10.11.16,,,,,9.5776164,
val3,11.11.16,,,,,9.69399264,
val3,12.11.16,,,,,9.45040832,
val3,13.11.16,,,,,9.27513234,
val3,14.11.16,,,,,9.38879608,
val3,15.11.16,,,,,9.18642924,
val3,16.11.16,,,,,9.46417017,
val3,17.11.16,,,,,8.9960388,
val3,18.11.16,,,,,9.3277954,
val3,19.11.16,,,,,8.70765122,
val3,20.11.16,,,,,9.10275921,
val3,21.11.16,,,,,9.25391376,
val3,22.11.16,,,,,8.9504673,
val3,23.11.16,,,,,9.21926739,
val3,24.11.16,,,,,9.3651775,
val3,25.11.16,,,,,8.82812656,
val3,26.11.16,,,,,8.94473013,
val3,27.11.16,,,,,8.91269554,
val3,28.11.16,,,,,8.63787826,
val3,29.11.16,,,,,8.24250568,
val3,30.11.16,,,,,7.691736,
val3,01.12.16,,,,,7.96895701,
val3,02.12.16,,,,,7.85714112,
val3,03.12.16,,,,,7.0988384,
val3,04.12.16,,,,,7.44556221,
val3,05.12.16,,,,,6.93856792,
val3,06.12.16,,,,,6.520182,
val3,07.12.16,,,,,7.22650944,
val3,08.12.16,,,,,7.7285916,
val3,09.12.16,,,,,7.5726063,
val3,10.12.16,,,,,7.88594489,
val3,11.12.16,,,,,7.6537138,
val3,12.12.16,,,,,7.8349934,
val3,13.12.16,,,,,7.98150992,
val3,14.12.16,,,,,7.88967688,
val3,15.12.16,,,,,7.77404853,
val3,16.12.16,,,,,7.382412,
val3,17.12.16,,,,,7.459452,
val3,18.12.16,,,,,7.44628185,
val3,19.12.16,,,,,7.61204468,
val3,20.12.16,,,,,7.323437472,
val3,21.12.16,,,,,7.2921849,
val3,22.12.16,,,,,7.3179288,
val3,23.12.16,,,,,7.0412963,
val3,24.12.16,,,,,6.4117826,
val3,25.12.16,,,,,7.13971899,
val3,26.12.16,,,,,6.85555864,
val3,27.12.16,,,,,6.93081445,
val3,28.12.16,,,,,6.6504843,
val3,29.12.16,,,,,6.880538396,
val3,30.12.16,,,,,8.040324,
val3,31.12.16,,,,,7.944258341,
val3,01.01.17,,,,,7.643700939,
val3,02.01.17,,,,,7.602677808,
val3,03.01.17,,,,,7.79623596,
val3,04.01.17,,,,,9.067593,
val3,05.01.17,,,,,9.6014976,
val3,06.01.17,,,,,11.0072268,
val3,07.01.17,,,,,10.70063253,
val3,08.01.17,,,,,9.2855337,
val3,09.01.17,,,,,9.73004,
val3,10.01.17,,,,,9.96005639,
val3,11.01.17,,,,,9.97992675,
val3,12.01.17,,,,,10.613547,
val3,13.01.17,,,,,9.05355477,
val4,28.10.16,,,,,,0
val4,29.10.16,,,,,,1891.62
val4,30.10.16,,,,,,590.1714
val4,31.10.16,,,,,,1202.654514
val4,01.11.16,,,,,,1174.169844
val4,02.11.16,,,,,,839.957041
val4,03.11.16,,,,,,864.032
val4,04.11.16,,,,,,534.82492
val4,05.11.16,,,,,,451.5485
val4,06.11.16,,,,,,323.6817
val4,08.11.16,,,,,,213.251577
val4,09.11.16,,,,,,263.690199
val4,10.11.16,,,,,,298.4894
val4,11.11.16,,,,,,205.447452
val4,12.11.16,,,,,,164.7046734
val4,13.11.16,,,,,,133.4978754
val4,14.11.16,,,,,,110.6632
val4,15.11.16,,,,,,94.2529068
val4,16.11.16,,,,,,99.928542
val4,17.11.16,,,,,,87.097104
val4,18.11.16,,,,,,78.6120874
val4,19.11.16,,,,,,63.255708
val4,20.11.16,,,,,,60.010416
val4,21.11.16,,,,,,58.401913
val4,22.11.16,,,,,,49.68924036
val4,23.11.16,,,,,,54.0512157
val4,24.11.16,,,,,,73.73565
val4,25.11.16,,,,,,91.581897
val4,26.11.16,,,,,,85.4877072
val4,27.11.16,,,,,,74.5529134
val4,28.11.16,,,,,,66.4829
val4,29.11.16,,,,,,67.68989
val4,30.11.16,,,,,,63.8532102
val4,01.12.16,,,,,,62.87827
val4,02.12.16,,,,,,58.35280752
val4,03.12.16,,,,,,54.3227184
val4,04.12.16,,,,,,55.46737287
val4,05.12.16,,,,,,53.79823648
val4,06.12.16,,,,,,51.6687525
val4,07.12.16,,,,,,44.722496
val4,08.12.16,,,,,,51.73585128
val4,09.12.16,,,,,,49.0309299
val4,10.12.16,,,,,,46.93585
val4,11.12.16,,,,,,46.69568
val4,12.12.16,,,,,,45.91629528
val4,13.12.16,,,,,,46.84672
val4,14.12.16,,,,,,43.6251858
val4,15.12.16,,,,,,41.88333741
val4,16.12.16,,,,,,37.713537
val4,17.12.16,,,,,,38.0506572
val4,18.12.16,,,,,,33.88302567
val4,19.12.16,,,,,,34.9154732
val4,20.12.16,,,,,,33.36614112
val4,21.12.16,,,,,,34.114146
val4,22.12.16,,,,,,33.6362544
val4,23.12.16,,,,,,44.2343
val4,24.12.16,,,,,,46.322938
val4,25.12.16,,,,,,46.69403634
val4,26.12.16,,,,,,43.8753
val4,27.12.16,,,,,,41.3112
val4,28.12.16,,,,,,41.7562488
val4,29.12.16,,,,,,43.89649332
val4,30.12.16,,,,,,49.44988
val4,31.12.16,,,,,,49.418651
val4,01.01.17,,,,,,46.24057851
val4,02.01.17,,,,,,44.53919349
val4,03.01.17,,,,,,46.4888772
val4,04.01.17,,,,,,46.605478
val4,05.01.17,,,,,,46.9843776
val4,06.01.17,,,,,,52.37190936
val4,07.01.17,,,,,,49.59183807
val4,08.01.17,,,,,,44.12214679
val4,09.01.17,,,,,,43.17802
val4,10.01.17,,,,,,44.70123531
val4,11.01.17,,,,,,42.96254625
val4,12.01.17,,,,,,44.9442
val4,13.01.17,,,,,,40.3657371
